"countryid","countryname"
"265","AVIOQUINTANA"
"152","Midway Islands"
"209","Brunei"
"165","Bolivia"
"242","Ivory Coast"
"14","Belgium"
"123","Tonga"
"124","Kiribati"
"93","Malta"
"236","South Georgia and the Islands"
"76","Rwanda"
"246","Canadian Territories"
"202","Nepal"
"3","Iceland"
"278","AVIANCA"
"217","Latvia"
"180","Saint Lucia"
"307","ODINN"
