"airlineid","airlinename","alias","countryid"
"1452","Bonair Aviation","","4"
"1453","Bancstar - Valley National Corporation","","16"
"1454","Bentiu Air Transport","","77"
"1455","Benane Aviation Corporation","","66"
"1456","British North West Airlines","","19"
"1457","Boniair","","101"
"1458","Bond Air Services","","80"
"1459","Boeing","","16"
"1460","Bordaire","","4"
"1461","Bookajet Limited","","19"
"1462","Bouraq Indonesia Airlines","","205"
"1463","Blue Panorama Airlines","","89"
"1464","Berkhut ZK","","187"
"1465","Bundepolizei-Fliegertruppe","","15"
"1466","Budapest Aircraft Services/Manx2","","88"
"1467","Bonus Aviation","","19"
"1468","British Petroleum Exploration","","164"
"1469","BRA-Transportes Aereos","","160"
"1470","Brock Air Services","","4"
"1471","Breeze Ltd","","191"
"1472","Bering Air","","16"
"1473","Briansk State Air Enterprise","","190"
"1474","Branson Airlines","","16"
"1475","BASE Regional Airlines","","24"
"1476","Brazilian Air Force","","160"
"1477","British Regional Airlines","","19"
"1478","Belavia Belarusian Airlines","","192"
"1479","Bravo Air Congo","","243"
"1480","Bright Aviation Services","","82"
"1481","Braniff International Airways","","16"
"1482","Buffalo Express Airlines","","16"
"1483","Burundayavia","","187"
"1484","Bistair - Fez","","188"
"1485","Blue Star Airlines","","111"
"1486","Brasair Transportes Aereos","","160"
"1487","Blue Swann Aviation","","19"
"1488","Blue Sky Aviation","","142"
"1489","Bissau Aero Transporte","","62"
"1490","Best Air","","99"
"1491","Blue Sky Airways","","91"
"1492","Big Sky Airlines","","16"
"1493","BAL Bashkirian Airlines","","190"
"1494","Baltijas Helicopters","","217"
"1495","Baltyka","","191"
"1496","Baltia Air Lines","","16"
"1497","Botir-Avia","","188"
"1498","Business Express","","16"
"1499","BT-Slavuta","","191"
"1500","Metro Batavia","","205"
"1501","Bulgarian Air Charter","","82"
"1502","Blue Airlines","","243"
"1503","Buryat Airlines Aircompany","","190"
"1504","Buzz Stansted","","19"
"1505","Buffalo Airways","","16"
"1506","Bulgarian Aeronautical Centre","","82"
"1507","Baron Aviation Services","","16"
"1508","Berjaya Air","","208"
"1509","Bellview Airlines","","0"
"1510","Blue Wings","","15"
"1511","Blue Wing Airlines","","166"
"1512","BWA (2002) Ltd","","19"
"1513","Bahrain Executive Air Services","","135"
"1514","Bar XH Air","","4"
"1515","Brussels International Airlines","","14"
"1516","BAX Global","","0"
"1517","Redding Aero Enterprises","","16"
"1518","Berry Aviation","","16"
"1519","Bylina Joint-Stock Company","","190"
"1520","Berytos Airlines","","142"
"1521","Bayu Indonesia Air","","205"
"1522","Bizair Fluggesellschaft","","15"
"1523","Brit Air","","86"
"1524","Butane Buzzard Aviation Corporation","","19"
"1525","Business Flight Salzburg","","94"
"1526","BKS Air (Rivaflecha)","","60"
"1527","Bristol Flying Centre","","19"
"1528","Barnes Olsen Aeroleasing","","19"
"1529","Baltimore Air Transport","","16"
"1530","Boston-Maine Airways","","16"
"1531","Brussels Airlines","SN Brussels Airlines","14"
"1532","Baltimore Airways","","16"
"1533","Bond Aviation","","89"
"1534","Brazilian Army Aviation","","160"
"1535","Business Express Delivery","","4"
"1536","Bel Limited","","190"
"1537","Bangkok Aviation Center","","204"
"1538","Benair","","29"
"1539","Binter Canarias","","60"
"1540","Bonyad Airlines","","137"
"1541","Burundaiavia","","187"
"1542","Blue Air","","97"
"1543","British Mediterranean Airways","","19"
"1544","Belle Air","","81"
"1545","Blom Geomatics","","29"
"1546","Benin Littoral Airways","","6"
"1547","Bombardier Business Jet Solutions","","16"
"1548","Bulgaria Air","","82"
"1549","Brazilian Navy Aviation","","160"
"1550","Barents AirLink","","31"
"1551","Belgian Navy","","14"
"1552","Bakoji Airlines Services","","10"
"1553","Benders Air","","31"
"1554","Balmoral Central Contracts","","32"
"1555","BGB Air","","187"
"1556","Butte Aviation","","16"
"1557","Bond Air Services","","19"
"1558","Business Airfreight","","16"
"1559","BAC Express Airlines","","19"
"1560","Boscombe Down DERA (Formation)","","19"
"1561","Business Jet Sweden","","31"
"1562","British Airways Shuttle","","19"
"1563","British Sky Broadcasting","","19"
"1564","Bell Helicopter Textron","","4"
"1565","Buzzaway Limited","","19"
"1566","Biz Jet Charter","","16"
"1567","Blue Chip Jet","","31"
"1568","BAE Systems","","19"
"1569","BAE Systems","","19"
"1570","Baseops International","","16"
"1571","Bureau Veritas","","86"
"1572","British Airways","","19"
"1573","Boskovic Air Charters Limited","","74"
"1574","C Air Jet Airlines","","298"
"1575","C N Air","","60"
"1576","C and M Aviation","","16"
"1577","C&M Airways","","16"
"1578","C.S.P.","","299"
"1579","CABI","","191"
"1580","CAI","","89"
"1581","CAL Cargo Air Lines","","92"
"1582","CAM Air Management","","19"
"1583","CATA L","","138"
"1584","CCF Manager Airline","","15"
"1585","CEDTA (Compania Ecuatoriana De Transportes Aereos)","","162"
"1586","CHC Denmark","","26"
"1587","CHC Helicopters","","125"
"1588","CHC Airways","","24"
"1589","CHC Helikopter Service","","29"
"1590","CI-Tours","","242"
"1591","CKC Services","","16"
"1592","CM Stair","","66"
"1593","CNET","","86"
"1594","COAPA AIR","","111"
"1595","COMAV","","228"
"1596","CRI Helicopters Mexico","","111"
"1597","CSA Air","","16"
"1598","CSE Aviation","","19"
"1599","CTK Network Aviation","","8"
"1600","Cabair College of Air Training","","19"
"1601","Cabo Verde Express","","68"
"1602","Caernarfon Airworld","","19"
"1603","Cairo Air Transport Company","","73"
"1604","Cal Gulf Aviation","","51"
"1605","Cal-West Aviation","","16"
"1606","California Air Shuttle","","16"
"1607","Calima Aviacion","","60"
"1608","Calm Air","","4"
"1609","Camai Air","","16"
"1610","Cambodia Airlines","","197"
"1611","Cameroon Airlines","","42"
"1612","Campania Helicopteros De Transporte","","60"
"1613","CanJet","","4"
"1614","Canada Jet Charters","","4"
"1615","Canadian Airlines","","4"
"1616","Canadian Coast Guard","","4"
"1617","Canadian Eagle Aviation","","4"
"1618","Canadian Forces","","4"
"1619","Canadian Global Air Ambulance","","4"
"1620","Canadian Helicopters","","4"
"1621","Canadian Interagency Forest Fire Centre","","4"
"1622","Canadian National Telecommunications","","4"
"1623","Canadian North","","4"
"1624","Canadian Regional Airlines","","4"
"1625","Canadian Warplane Heritage Museum","","4"
"1626","Canadian Western Airlines","","4"
"1627","Canair","","214"
"1628","Cancun Air","","111"
"1629","Cape Air","","16"
"1630","Cape Air Transport","","125"
"1631","Cape Central Airways","","16"
"1632","Cape Smythe Air","","16"
"1633","Capital Air Service","","16"
"1634","Capital Airlines","","74"
"1635","Capital Airlines Limited","","10"
"1636","Capital Cargo International Airlines","","16"
"1637","Capital City Air Carriers","","16"
"1638","Capital Trading Aviation","","19"
"1639","Capitol Air Express","","16"
"1640","Capitol Wings Airline","","16"
"1641","Caravan Air","","66"
"1642","Cardiff Wales Flying Club","","19"
"1643","Cardinal/Air Virginia","","16"
"1644","Cardolaar","","228"
"1645","Cards Air Services","","158"
"1646","Care Flight","","125"
"1647","Carga Aerea Dominicana","","107"
"1648","Carga Express Internacional","","111"
"1649","Cargo 360","","16"
"1650","Cargo Express","","66"
"1651","Cargo Ivoire","","242"
"1652","Cargo Link (Caribbean)","","173"
"1653","Cargo Three","","113"
"1654","Cargoitalia","","89"
"1655","Cargojet Airways","","4"
"1656","Cargolux","","28"
"1657","Cargoman","","144"
"1658","Carib Aviation","","172"
"1659","Carib Express","","173"
"1660","Caribair","","107"
"1661","Caribbean Air Cargo","","173"
"1662","Caribbean Air Transport","","24"
"1663","Caribbean Airlines","","184"
"1664","Caribbean Airways","","173"
"1665","Caribbean Express","","16"
"1666","Caribbean Star Airlines","","172"
"1667","Caribintair","","116"
"1668","Carill Aviation","","19"
"1669","Carpatair","","97"
"1670","Carranza","","161"
"1671","Carroll Air Service","","16"
"1672","Casement Aviation","","16"
"1673","Casino Airline","","16"
"1674","Casper Air Service","","16"
"1675","Caspian Airlines","","137"
"1676","Castle Aviation","","16"
"1677","Cat Aviation","","98"
"1678","Catalina Flying Boats","","16"
"1679","Catex","","86"
"1680","Cathay Pacific","","300"
"1681","Caverton Helicopters","","10"
"1682","Cayman Airways","","118"
"1683","Cebu Pacific","","158"
"1684","Cecil Aviation","","19"
"1685","Cega Aviation","","19"
"1686","Celtic Airways","","19"
"1687","Celtic West","","19"
"1688","Centavia","","103"
"1689","Cente D'Essais En Vol","","86"
"1690","Centennial Airlines","","16"
"1691","Centennial Flight Centre","","4"
"1692","Center Vol","","60"
"1693","Center-South","","190"
"1694","Centrafrican Airlines","","37"
"1695","Central Air Express","","301"
"1696","Central Airlines","","16"
"1697","Central Airways","","61"
"1698","Central American Airlines","","112"
"1699","Central Aviation","","16"
"1700","Central Connect Airlines","","91"
"1701","Central De Discos De Reynosa","","111"
"1702","Central European Airlines","","91"
"1703","Central Flying Service","","16"
"1704","Central Mongolia Airways","","216"
"1705","Central Mountain Air","","4"
"1706","Central Queensland Aviation College","","125"
"1707","Central Skyport","","16"
"1708","Centralwings","","30"
"1709","Centre Airlines","","16"
"1710","Centre of Applied Geodynamica","","190"
"1711","Centre-Avia","","190"
"1712","Centro De Helicopteros Corporativos","","111"
"1713","Centro de Formacion Aeronautica de Canarias","","60"
"1714","Centurion Air Cargo","","16"
"1715","Century Aviation","","111"
"1716","Century Aviation International","","4"
"1717","Certified Air Dispatch","","16"
"1718","Cetraca Aviation Service","","243"
"1719","Chabahar Airlines","","137"
"1720","Chalair Aviation","","86"
"1721","Chalk's Ocean Airways","","16"
"1722","Challenge Air Transport","","15"
"1723","Challenge Aviation","","125"
"1724","Challenge International Airlines","","16"
"1725","AC Challenge Aero","","191"
"1726","Champagne Airlines","","86"
"1727","Champion Air","","16"
"1728","Chanchangi Airlines","","10"
"1729","Changan Airlines","","214"
"1730","Channel Island Aviation","","16"
"1731","Chantilly Air","","16"
"1732","Chaparral Airlines","","16"
"1733","Chari Aviation Services","","54"
"1734","Charlan Air Charter","","32"
"1735","Charlie Hammonds Flying Service","","16"
"1736","Charlotte Air National Guard","","16"
"1737","Charter Air","","94"
"1738","Chartright Air","","4"
"1739","Chautauqua Airlines","","16"
"1740","Cheboksary Airenterprise JSC","","190"
"1741","Chemech Aviation","","145"
"1742","Cherline","","190"
"1743","Chernomor-Avia","","190"
"1744","Cherokee Express","","16"
"1745","Cherry Air","","16"
"1746","Chesapeake Air Service","","16"
"1747","Chevron U.S.A","","16"
"1748","Cheyenne Airways","","16"
"1749","Chicago Air","","16"
"1750","Chicago Express","","16"
"1751","Chief Rat Flight Services","","32"
"1752","Chilchota Taxi Aereo","","111"
"1753","Chilcotin Caribou Aviation","","4"
"1754","Chilliwack Aviation","","4"
"1755","Chim-Nir Aviation","","92"
"1756","China Airlines","","155"
"1757","China Cargo Airlines","","214"
"1758","China Eastern Airlines","","214"
"1759","China Express Airlines","","214"
"1760","China Flying Dragon Aviation","","214"
"1761","China General Aviation Corporation","","214"
"1762","China National Aviation Corporation","","214"
"1763","China Northern Airlines","","214"
"1764","China Northwest Airlines","","214"
"1765","China Ocean Helicopter Corporation","","214"
"1766","China Postal Airlines","","214"
"1767","China Southern Airlines","","214"
"1768","China Southwest Airlines","","214"
"1769","China United Airlines","","214"
"1770","China Xinhua Airlines","","214"
"1771","Yunnan Airlines","","214"
"1772","Chinguetti Airlines","","66"
"1773","Chipola Aviation","","16"
"1774","Chippewa Air Commuter","","16"
"1775","Chitaavia","","190"
"1776","Christman Air System","","16"
"1777","Christophorus Flugrettungsverein","","94"
"1778","Chrome Air Services","","16"
"1779","Church Aircraft","","16"
"1780","Cielos Airlines","","168"
"1781","Cimber Air","","26"
"1782","Cirrus","","161"
"1783","Cirrus Air","","16"
"1784","Cirrus Airlines","","15"
"1785","Cirrus Middle East","","142"
"1786","Citationshares","","16"
"1787","Citibank","","16"
"1788","Citic General Aviation","","214"
"1789","City Airline","","31"
"1790","City Connexion Airlines","","71"
"1791","City of Bangor","","16"
"1792","CityJet","","25"
"1793","Cityair (Chester) Limited","","19"
"1794","Cityfly","","89"
"1795","BA CityFlyer","","19"
"1796","Cityline Hungary","","88"
"1797","Citylink Airlines","","16"
"1798","Civair Airways","","32"
"1799","Civil Air Patrol South Carolina Wing","","16"
"1800","Civil Air Transport","","155"
"1801","Civil Aviation Authority","","105"
"1802","Civil Aviation Authority of New Zealand","","132"
"1803","Civil Aviation Inspectorate of the Czech Republic","","91"
"1804","Claessens International Limited","","19"
"1805","Clark Aviation","","16"
"1806","Clasair","","19"
"1807","Clay Lacy Aviation","","16"
"1808","Click Airways","","188"
"1809","Cloud 9 Air Charters","","32"
"1810","Clowes Estates Limited","","19"
"1811","Club 328","","19"
"1812","Club Air","","89"
"1813","Coast Air","","29"
"1814","Coastal Air","","16"
"1815","Coastal Air Transport","","16"
"1816","Coastal Airways","","16"
"1817","Coastal Travels","","79"
"1818","Cohlmia Aviation","","16"
"1819","Colaereos","","162"
"1820","Colemill Enterprises","","16"
"1821","Colgan Air","","16"
"1822","Colibri Aviation","","4"
"1823","Colt International","","16"
"1824","Columbia Airlines","","4"
"1825","Columbia Helicopters","","16"
"1826","Columbus Air Transport","","16"
"1827","Colvin Aviation","","16"
"1828","Comair","","16"
"1829","Comair","","32"
"1830","Comed Group","","19"
"1831","Comeravia","","170"
"1832","Comercial Aerea","","111"
"1833","Comet Airlines","","10"
"1834","Comfort Air","","15"
"1835","Comlux Aviation","","98"
"1836","Commair Aviation","","19"
"1837","Commandement Du Transport Aerien Militaire Francais","","86"
"1838","Commander Air Charter","","4"
"1839","Commander Mexicana","","111"
"1840","Commercial Aviation","","4"
"1841","Commodore Aviation","","125"
"1842","Commonwealth Jet Service","","16"
"1843","CommutAir","","16"
"1844","Comores Airlines","","44"
"1845","Compagnia Generale Ripreseaeree","","89"
"1846","Compagnie Aerienne du Mali","","58"
"1847","Compagnie Mauritanienne Des Transports","","66"
"1848","Compagnie de Bauxites de Guinee","","67"
"1849","Compania Aerea de Valencia","","60"
"1850","Compania Aerotecnicas Fotograficas","","60"
"1851","Compania Boliviana de Transporte Aereo Privado Aerosur","","302"
"1852","Compania De Actividades Y Servicios De Aviacion","","60"
"1853","Compania Ejecutiva","","111"
"1854","Compania Helicopteros Del Sureste","","60"
"1855","Compania Mexicana De Aeroplanos","","111"
"1856","Compania Mexicargo","","111"
"1857","Compania Transportes Aereos Del Sur","","60"
"1858","Compania de Servicios Aereos Tavisa","","60"
"1859","Company Flight","","26"
"1860","Compass Airlines","","16"
"1861","Compass International Airways","","19"
"1862","Compuflight Operations Service","","16"
"1863","Compuserve Incorporated","","16"
"1864","Conair Aviation","","4"
"1865","Concordavia","","191"
"1866","Condor Aero Services","","16"
"1867","Condor","","15"
"1868","Condor Flugdienst","","15"
"1869","Confort Air","","4"
"1870","Congo Air","","119"
"1871","Congressional Air","","16"
"1872","Conifair Aviation","","4"
"1873","Connectair Charters","","4"
"1874","Conquest Airlines","","16"
"1875","Conroe Aviation Services","","16"
"1876","Consorcio Aviaxsa","","111"
"1877","Consorcio Helitec","","170"
"1878","Constanta Airline","","191"
"1879","Contact Air","Contactair","15"
"1880","Contel ASC","","16"
"1881","Continental Airlines","","16"
"1882","Continental Airways","","190"
"1883","Continental Express","","16"
"1884","Continental Micronesia","","16"
"1885","Continental Oil","","16"
"1886","Conviasa","","170"
"1887","Cook Inlet Aviation","","16"
"1888","Cooper Aerial Surveys","","19"
"1889","Copa Airlines","","113"
"1890","Copenhagen Airtaxi","","26"
"1891","Copper State Air Service","","16"
"1892","Copterline","","18"
"1893","Coptrade Air Transport","","77"
"1894","Corendon Airlines","","99"
"1895","Coronado Aerolineas","","164"
"1896","Corpac Canada","","4"
"1897","Corporacion Aereo Cencor","","111"
"1898","Corporacion Aeroangeles","","111"
"1899","Corporacion Paraguaya De Aeronautica","","163"
"1900","Corporate Air","","16"
"1901","Corporate Air","","16"
"1902","Corporate Aircraft Company","","16"
"1903","Corporate Airlink","","4"
"1904","Corporate Aviation Services","","16"
"1905","Corporate Flight International","","16"
"1906","Corporate Flight Management","","16"
"1907","Corporate Jets","","16"
"1908","Corsairfly","","86"
"1909","Corse-Mediterranee","","86"
"1910","Cosmic Air","","202"
"1911","Cougar Helicopters","","4"
"1912","Coulson Flying Service","","19"
"1913","Country Connection Airlines","","125"
"1914","Country International Airlines","","188"
"1915","Courier Services","","16"
"1916","Court Helicopters","","32"
"1917","Coval Air","","4"
"1918","Cowi","","24"
"1919","Coyne Aviation","","19"
"1920","Cranfield University","","19"
"1921","Cree Airways","","4"
"1922","Crelam","","111"
"1923","Crest Aviation","","19"
"1924","Crimea Universal Avia","","191"
"1925","Croatia Airlines","","84"
"1926","Croatian Air Force","","84"
"1927","Cross Aviation","","19"
"1928","Crossair Europe","","98"
"1929","Crow Executive Air","","16"
"1930","Crown Air Systems","","16"
"1931","Crown Airways","","16"
"1932","Crownair","","4"
"1933","Cruiser Linhas Aereas","","160"
"1934","Cryderman Air Service","","16"
"1935","Crystal Shamrock","","16"
"1936","Cubana de Aviación","","117"
"1937","Cumberland Airways (Nicholson Air Service)","","16"
"1938","Custom Air Transport","","16"
"1939","Cygnus Air","","60"
"1940","Cyprair Tours","","83"
"1941","Cypress Airlines","","4"
"1942","Cyprus Airways","","83"
"1943","Cyprus Turkish Airlines","","99"
"1944","Czech Air Force","","91"
"1945","Czech Air Handling","","91"
"1946","Czech Airlines","CSA Czech Airlines","91"
"1947","Czech Government Flying Service","","91"
"1948","D & D Aviation","","16"
"1949","D&K Aviation","","16"
"1950","DAP Helicopteros","","161"
"1951","DFS UK Limited","","19"
"1952","DAS Air Cargo","","80"
"1953","DAS Airlines","","243"
"1954","DAT Danish Air Transport","","26"
"1955","DAT Enterprise Limited","","19"
"1956","DERA Boscombe Down","","19"
"1957","DESNA","","191"
"1958","DETA Air","","187"
"1959","DGO Jet","","111"
"1960","DHL Aero Expreso","","113"
"1961","DHL Air","","19"
"1962","DHL Aviation","","32"
"1963","DHL International","","135"
"1964","DHL de Guatemala","","108"
"1965","DSWA","","16"
"1966","Daallo Airlines","","229"
"1967","Dagestan Airlines","","190"
"1968","Dahla Airlines","","301"
"1969","Daimler Chrysler Aviation","","15"
"1970","Daimler-Chrysler","","16"
"1971","Daka","","187"
"1972","Dala Air Services","","10"
"1973","Dalavia","","190"
"1974","Dallas Express Airlines","","16"
"1975","Damascene Airways","","298"
"1976","Danbury Airways","","16"
"1977","Dancopter","","26"
"1978","Danish Air Force","","26"
"1979","Danish Army","","26"
"1980","Danish Navy","","26"
"1981","Danu Oro Transportas","","218"
"1982","Darta","","86"
"1983","Darwin Airline","","98"
"1984","Dasab Airlines","","80"
"1985","Dash Air Charter","","16"
"1986","Dash Aviation","","19"
"1987","Dasnair","","98"
"1988","Dassault Aviation","","86"
"1989","Dassault Falcon Jet Corporation","","16"
"1990","Dassault Falcon Service","","86"
"1991","Data International","","77"
"1992","Date Transformation Corp","","16"
"1993","Dauair","","15"
"1994","David Crawshaw Consultants Limited","","19"
"1995","Dawn Air","","16"
"1996","DayJet","","16"
"1997","Daya Aviation","","196"
"1998","De Havilland","","4"
"1999","Deadalos Flugtbetriebs","","94"
"2000","Decatur Aviation","","16"
"2001","Deccan Aviation","","195"
"2002","Deccan Aviation (Lanka)","","196"
"2003","Deer Jet","","214"
"2004","Deere and Company","","16"
"2005","Delaware Skyways","","16"
"2006","Delta Aerotaxi","","89"
"2007","Delta Air Charter","","4"
"2008","Delta Air Elite","","16"
"2009","Delta Air Lines","","16"
"2010","Delta Engineering Aviation","","19"
"2011","Delta Express International","","191"
"2012","Delta State University","","16"
"2013","Denim Air","","24"
"2014","Denver Express","","16"
"2015","Denver Jet","","16"
"2016","Departmento De Agricultura De La Generalitat De Cataluna","","60"
"2017","Deraya Air Taxi","","205"
"2018","Des R Cargo Express","","66"
"2019","Desarrollo Milaz","","111"
"2020","Destiny Air Services","","61"
"2021","Deutsche Bahn","","15"
"2022","Deutsche Rettungsflugwacht","","15"
"2023","Deutsches Zentrum fur Luft-und Raumfahrt EV","","15"
"2024","Di Air","","103"
"2025","Diamond Aviation","","16"
"2026","Didier Rousset Buy","","161"
"2027","Digital Equipment Corporation","","16"
"2028","Dinar","","138"
"2029","Diplomatic Freight Services","","19"
"2030","Direccion General de Aviacion Civil y Telecomunicasciones","","60"
"2031","Direct Air","","16"
"2032","Direct Air trading as Midway Connection","","16"
"2033","Direct Flight","","19"
"2034","Sky Express","","30"
"2035","Dirgantara Air Service","","205"
"2036","Discover Air","","16"
"2037","Discovery Airways","","16"
"2038","Dispatch Services","","16"
"2039","Dix Aviation","","15"
"2040","Dixie Airways","","16"
"2041","Djibouti Airlines","","229"
"2042","Dniproavia","","191"
"2043","Flying Dolphin Airlines","","143"
"2044","Dolphin Express Airlines","","16"
"2045","Dome Petroleum","","4"
"2046","Dominguez Toledo (Grupo Mayoral)","","60"
"2047","Dominicana de Aviaci","","107"
"2048","Domodedovo Airlines","","190"
"2049","Don Avia","","187"
"2050","Donair Flying Club","","19"
"2051","DonbassAero","","191"
"2052","Dorado Air","","107"
"2053","Dornier","","15"
"2054","Dornier Aviation Nigeria","","10"
"2055","Dos Mundos","","107"
"2056","Dragonair","","303"
"2057","Dreamcatcher Airways","","19"
"2058","Druk Air","","203"
"2059","Drummond Island Air","","16"
"2060","Dubai Airwing","","143"
"2061","Dubrovnik Air","","84"
"2062","Ducair","","28"
"2063","Duchess of Britany (Jersey) Limited","","19"
"2064","UK Royal/HRH Duke of York","","19"
"2065","Dun'Air","","66"
"2066","Duncan Aviation","","16"
"2067","Dunyaya Bakis Hava Tasimaciligi","","99"
"2068","Duo Airways","","19"
"2069","Durango Jet","","111"
"2070","Dutch Antilles Express","","182"
"2071","Dutch Caribbean Express","","182"
"2072","Dutchbird","","24"
"2073","Dwyer Aircraft Services","","16"
"2074","Dynair Services","","16"
"2075","Dynamair Aviation","","4"
"2076","Dynamic Air","","24"
"2077","dba","","15"
"2078","E H Darby Aviation","","16"
"2079","Electronic Data Systems","","98"
"2080","Electronic Data Systems","","0"
"2081","EAA Escola De Aviacao Aerocondor","","95"
"2082","Executive Airlines Services","","10"
"2083","EFAOS- Agencia De Viagens e Turismo","","48"
"2084","EFD Eisele Flugdienst","","15"
"2085","EFS-Flugservice","","15"
"2086","EIS Aircraft","","15"
"2087","EPAG Groupe Air France","","86"
"2088","ESI Eliservizi Italiani","","89"
"2089","EU Airways","","25"
"2090","EUjet","","25"
"2091","EVA Air","","155"
"2092","Eagle Aero","","16"
"2093","Eagle Air","","61"
"2094","Eagle Air","","80"
"2095","Eagle Air Company","","204"
"2096","Eagle Air Iceland","","3"
"2097","Eagle Aviation","","80"
"2098","Eagle Aviation","","19"
"2099","Eagle Aviation France","","86"
"2100","Eagle International","","65"
"2101","Eagle Jet Charter","","16"
"2102","Eaglemed (Ballard Aviation)","","16"
"2103","Earth Airlines Services","","10"
"2104","East African","","80"
"2105","East African Safari Air","","74"
"2106","East African Safari Air Express","","74"
"2107","East Asia Airlines","","250"
"2108","East Coast Airways","","32"
"2109","East Coast Jets","","16"
"2110","East Hampton Aire","","16"
"2111","East Kansas City Aviation","","16"
"2112","East Midlands Helicopters","","19"
"2113","East Star Airlines","","214"
"2114","East-West Airlines","","125"
"2115","Eastern Air","","43"
"2116","Eastern Air Executive","","19"
"2117","Eastern Airways","","19"
"2118","Eastern Australia Airlines","","125"
"2119","Eastern Carolina Aviation","","16"
"2120","Eastern Executive Air Charter","","19"
"2121","Eastern Express","","187"
"2122","Eastern Metro Express","","16"
"2123","Eastern Pacific Aviation","","4"
"2124","Eastern Sky Jets","","143"
"2125","Eastland Air","","125"
"2126","Eastwind Airlines","","16"
"2127","Easy Link Aviation Services","","10"
"2128","Eckles Aircraft","","16"
"2129","Eclipse Aviation","","16"
"2130","Eco Air","","10"
"2131","Ecoair","","5"
"2132","Ecomex Air Cargo","","48"
"2133","Ecotour","","111"
"2134","Ecoturistica de Xcalak","","111"
"2135","Ecuatoguineana De Aviacion (EGA)","","38"
"2136","Ecuatorial Cargo","","38"
"2137","Ecuavia","","162"
"2138","Edelweiss Air","","98"
"2139","Edgartown Air","","16"
"2140","Edinburgh Air Charter","","19"
"2141","Edwards Jet Center of Montana","","16"
"2142","Efata Papua Airlines","","205"
"2143","Egyptair","","73"
"2144","Egyptair Cargo","","73"
"2145","Egyptian Air Force","","73"
"2146","Egyptian Aviation","","73"
"2147","Egyptian Aviation Company","","73"
"2148","Ei Air Exports","","25"
"2149","Eirjet","","25"
"2150","El Al Israel Airlines","","92"
"2151","El Caminante Taxi Aereo","","111"
"2152","El Quilada International Aviation","","77"
"2153","El Sal Air","","115"
"2154","El Sol De America","","170"
"2155","El-Buraq Air Transport","","75"
"2156","Elan Express","","16"
"2157","Elbe Air Transport","","15"
"2158","Elbrus-Avia Air Enterprise","","190"
"2159","Eldinder Aviation","","77"
"2160","Elicar","","89"
"2161","Elidolomiti","","89"
"2162","Elieuro","","89"
"2163","Elifriulia","","89"
"2164","Elilario Italia","","89"
"2165","Elilombarda","","89"
"2166","Elimediterranea","","89"
"2167","Elios","","89"
"2168","Elipiu'","","89"
"2169","Elisra Airlines","","77"
"2170","Elite Air","","13"
"2171","Elite Jets","","143"
"2172","Elitellina","","89"
"2173","Elliott Aviation","","16"
"2174","Elmagal Aviation Services","","77"
"2175","Elrom Aviation and Investments","","92"
"2176","Embassy Airlines","","10"
"2177","Embassy Freight Company","","16"
"2178","Empresa Brasileira De Aeronautica","","160"
"2179","Embry-Riddle Aeronautical University","","16"
"2180","Emerald Airways","","19"
"2181","Emery Worldwide Airlines","","16"
"2182","Emetebe","","162"
"2183","Emirates","Emirates Airlines","143"
"2184","Emoyeni Air Charter","","32"
"2185","Empire Air Service","","16"
"2186","Empire Airlines","","16"
"2187","Empire Aviation Services","","10"
"2188","Empire Test Pilots' School","","19"
"2189","Empresa (Aero Uruguay)","","304"
"2190","Empresa Aero-Servicios Parrague","","161"
"2191","Empresa Aerocaribbean","","117"
"2192","Empresa Aviacion Interamericana","","169"
"2193","Empresa Ecuatoriana De Aviacion","","162"
"2194","Empresa Nacional De Servicios Aereos","","117"
"2195","Empresa Venezolana","","170"
"2196","Empresa de Aviacion Aerogaviota","","117"
"2197","Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero","","160"
"2198","Endecots","","162"
"2199","Enimex","","17"
"2200","Enkor JSC","","305"
"2201","Enrique Gleisner Vivanco","","161"
"2202","Ensenada Vuelos Especiales","","111"
"2203","Entergy Services","","16"
"2204","Enterprise World Airways","","243"
"2205","Eos Airlines","","16"
"2206","Equaflight Service","","296"
"2207","Equatair Air Services (Zambia)","","43"
"2208","Equatorial Airlines","","38"
"2209","Era Helicopters","","16"
"2210","Eram Air","","137"
"2211","Erfoto","","95"
"2212","Erie Airways","","16"
"2213","Eritrean Airlines","","220"
"2214","Escuela De Pilotos Are Aviacion","","60"
"2215","Espace Aviation Services","","243"
"2216","Esso Resources Canada","","4"
"2217","Estafeta Carga Aerea","","111"
"2218","Estonian Air","","17"
"2219","Estrellas Del Aire","","111"
"2220","Ethiopian Airlines","","69"
"2221","Eti 2000","","89"
"2222","Etihad Airways","","143"
"2223","Etram Air Wing","","48"
"2224","Euraviation","","89"
"2225","Euro Continental AIE","","60"
"2226","Euro Exec Express","","31"
"2227","Euro Sun","","99"
"2228","Euro-Asia Air","","187"
"2229","Euro-Asia Air International","","187"
"2230","EuroAtlantic Airways","","95"
"2231","EuroJet Aviation","","19"
"2232","Euroair","","85"
"2233","Euroamerican Air","","169"
"2234","Euroceltic Airways","","19"
"2235","Eurocontrol","","14"
"2236","Eurocopter","","86"
"2237","Eurocypria Airlines","","83"
"2238","Eurofly","","89"
"2239","Eurofly Service","","89"
"2240","Euroguineana de Aviacion","","38"
"2241","Eurojet Italia","","89"
